time  open      close       high        low       volume         money
20120104000000  2361.5000  2298.7500  2365.9900  2298.3000   3434456700   32572551267
20120105000000  2290.7800  2276.3900  2316.6600  2272.1500   4301648000   37635272074
20120106000000  2274.3500  2290.6000  2291.8900  2254.5700   3519899200   31079362325
20120109000000  2291.1800  2368.5700  2368.8900  2271.7200   5472734100   51478126954
20120110000000  2365.7700  2447.3500  2449.9500  2361.2800   8115498900   75249157103
20120111000000  2444.7600  2435.6100  2453.1500  2423.3200   5870567400   57587219272
20120112000000  2426.8200  2435.2200  2464.3800  2423.3200   4712127500   47877407259
20120113000000  2438.4100  2394.3300  2445.7900  2374.5500   4551399700   47228338588
20120116000000  2376.9500  2345.6500  2394.5000  2345.6300   3052714500   34410385319
20120117000000  2347.5700  2460.6000  2462.4300  2329.2500   6420564800   64324131068
20120118000000  2464.9200  2422.1900  2485.5000  2414.5300   6389235800   67058838880
20120119000000  2423.8600  2468.3500  2480.2100  2414.9900   5561572600   56377653304
20120120000000  2476.7300  2504.0900  2510.3400  2462.5900   5452978300   57474475709
20120130000000  2508.8800  2460.7200  2508.8800  2460.4000   4351714800   44770885276
20120131000000  2462.3400  2464.2600  2472.8400  2447.7700   3070150100   32694132107
20120201000000  2458.2300  2428.9900  2481.6600  2423.4500   3501537400   37752320797
20120202000000  2437.4700  2486.2400  2486.2400  2429.7100   4206698500   44126383715
20120203000000  2478.3400  2506.0900  2514.6400  2470.2800   4994924000   51507545973
20120206000000  2511.1700  2504.3200  2520.7600  2488.7100   4507990500   47541523547
20120207000000  2489.0300  2457.9500  2489.0300  2441.7000   3967916400   40034277145
20120208000000  2456.4200  2528.2400  2534.1600  2451.0000   5618645600   61721305024
20120209000000  2525.5900  2529.2300  2546.0300  2513.1300   5929975100   63456204565
20120210000000  2521.6800  2533.6200  2560.0300  2521.1600   6157587700   60029482361
20120213000000  2504.4100  2531.9800  2553.4500  2496.3000   5191397300   54282622440
20120214000000  2528.9700  2522.1100  2533.2600  2506.5400   4043010100   43723682304
20120215000000  2515.8300  2549.6100  2562.0700  2511.2900   5809037000   60422394145
20120216000000  2544.6400  2536.0700  2559.3400  2519.0400   5439543100   55165633314
20120217000000  2551.8200  2537.0900  2558.3400  2522.8600   3899471600   40458003413
20120220000000  2571.9100  2540.7100  2574.7500  2539.9000   5615332900   56748912893
20120221000000  2544.8400  2562.4500  2562.9100  2520.7900   4789480800   47758225547
20120222000000  2564.3200  2597.4800  2598.8600  2560.3400   7637665600   76421806874
20120223000000  2595.7800  2606.2600  2614.5400  2590.5200   7037712600   72612089253
20120224000000  2607.3400  2648.0200  2648.0200  2602.7800   8599970800   88058616716
20120227000000  2658.1200  2656.5700  2693.8400  2656.5700  10151403400  106670207615
20120228000000  2652.3400  2662.4600  2671.8300  2641.4600   7759253600   77213053038
20120229000000  2655.8600  2634.1400  2666.6500  2631.7800   5912020600   64875221164
20120301000000  2622.7400  2633.3400  2647.7800  2621.8600   4214844100   46524079738
20120302000000  2637.9600  2679.9300  2679.9300  2637.9600   6412203400   66981591368
20120305000000  2687.7400  2662.7000  2694.6100  2660.9500   7139545800   74973261138
20120306000000  2654.8000  2621.0500  2657.9600  2615.6000   6244714800   68852557821
20120307000000  2596.4800  2603.0100  2628.5900  2594.1300   5694873300   63243293004
20120308000000  2612.4000  2635.7900  2645.9500  2612.4000   5754941300   64458851045
20120309000000  2644.1000  2664.3000  2664.4100  2631.4100   5525892100   65963441747
20120312000000  2663.2400  2654.4000  2666.4300  2636.4200   6232721600   74367701978
20120313000000  2653.6800  2681.0700  2681.3300  2649.1700   5840446900   66429764308
20120314000000  2694.4700  2605.1100  2705.7500  2595.3400  10842654000  117080408732
20120315000000  2602.6600  2585.5500  2618.2500  2575.4400   7256596000   77042766482
20120316000000  2591.8000  2623.5200  2624.3200  2577.2400   5809125900   67451822278
20120319000000  2617.6600  2630.0100  2631.0500  2598.6300   5764662500   68803937996
20120320000000  2622.6600  2584.4500  2622.6600  2584.0200   5811406500   64263817216
20120321000000  2597.3800  2587.7900  2613.2700  2569.0700   5800254400   66674920148
20120322000000  2586.9400  2583.7500  2599.2400  2570.4500   4492677700   50115505934
20120323000000  2575.3300  2552.9400  2578.8200  2544.5300   4332925600   47812442986
20120326000000  2551.4300  2555.4400  2562.9300  2540.7000   3181621100   36356133943
20120327000000  2565.5500  2547.1400  2571.9000  2544.3700   3594460400   47394454857
20120328000000  2538.4600  2474.9000  2540.4200  2471.0300   5000579000   54993640999
20120329000000  2463.6900  2443.1200  2476.4800  2429.7300   4613130400   48651595893
20120330000000  2447.9400  2454.9000  2461.9800  2438.4900   3702708600   39139734882
20120405000000  2449.2100  2512.8300  2517.3900  2441.2700   5433168700   58049690964
20120406000000  2509.4500  2519.8300  2525.5300  2502.7000   4236857600   47207795088
20120409000000  2510.5300  2495.1500  2518.3800  2491.5900   3537098600   38180751755
20120410000000  2490.2800  2519.7900  2519.8100  2459.3500   4133590500   44064833898
