time    open      close       high        low       volume         money
20120104103000  2361.5000  2348.5100  2365.9200  2346.6000   1263715000   12097650000
20120104113000  2348.8300  2332.5200  2350.2100  2331.0400    635382000    6084670000
20120104140000  2332.4000  2326.7300  2334.7600  2323.8500    640358000    5843940000
20120104150000  2327.2400  2298.7500  2327.2400  2298.3700    883373800    8406050000
20120105103000  2290.7800  2290.8600  2308.6800  2282.3300   1197403500   10499450880
20120105113000  2290.8700  2306.4500  2316.5800  2284.6200   1132892900    9694943232
20120105140000  2306.3700  2296.0300  2308.1600  2294.3700    665050000    5726093312
20120105150000  2296.5200  2276.3900  2296.6000  2272.4200   1295105600   11593711616
20120106103000  2274.3500  2266.7100  2285.2500  2264.2600   1093831100    9000651776
20120106113000  2266.7500  2265.7200  2271.8100  2260.5100    707630900    6496608256
20120106140000  2265.4500  2269.4200  2274.3900  2255.8500    708332400    6557076480
20120106150000  2269.2400  2290.6000  2291.4300  2268.7400    997394400    8900089856
20120109103000  2291.1800  2304.7400  2304.7400  2272.0700   1252605500   11552357376
20120109113000  2304.9000  2328.5700  2351.1900  2304.8200   1689596900   16439217152
20120109140000  2329.9600  2344.4300  2345.6200  2325.2600    821344800    8224544768
20120109150000  2344.5200  2368.5700  2368.5700  2342.7700   1690166800   15051087872
20120110103000  2365.7700  2389.4900  2392.2000  2361.5000   2504128200   22253287424
20120110113000  2389.5000  2409.5700  2410.6000  2385.7300   1509042200   13766264832
20120110140000  2410.4500  2434.6400  2445.0500  2410.4500   2051194400   19170254848
20120110150000  2434.4900  2447.3500  2449.9500  2428.0400   2030117600   19814891520
20120111103000  2444.7600  2437.7100  2453.0000  2433.5800   2386527600   22930855936
20120111113000  2438.1700  2434.0600  2447.7200  2432.6300   1135370400   11051120640
20120111140000  2434.1700  2428.3400  2434.8400  2423.4100    998138400    9865797632
20120111150000  2430.0100  2435.6100  2448.6200  2429.1000   1334984400   13582901248
20120112103000  2426.8200  2452.7200  2464.3600  2423.3200   1693404200   16680899900
20120112113000  2452.9300  2435.0700  2453.4400  2428.0400   1075598300   10555263100
20120112140000  2434.9900  2439.9100  2444.9100  2432.8600    753627300    8023857600
20120112150000  2439.9100  2435.2200  2452.9200  2433.3200   1189497700   12617386600
20120113103000  2438.4000  2429.6700  2445.7600  2424.4200   1161460300   12568131584
20120113113000  2428.8600  2387.2600  2430.9600  2387.2600   1358508100   13773524992
20120113140000  2386.5400  2397.5700  2398.8400  2374.5400    953414800    9391388672
20120113150000  2397.4800  2394.3300  2413.4100  2388.3200   1064809600   11340234752
20120116103000  2376.9500  2381.0100  2394.4700  2369.7700   1019423500   11500578816
20120116113000  2380.1800  2381.8600  2387.3100  2371.6700    535759600    6215573504
20120116140000  2382.1400  2362.2200  2382.9200  2361.1400    576828100    6574999552
20120116150000  2361.9000  2345.6500  2373.2900  2345.6400    909195600    9985359872
20120117103000  2347.5700  2338.1200  2363.9500  2337.6400    994547000   10944421888
20120117113000  2337.8100  2371.8500  2371.8500  2329.6200   1004810400   10205296640
20120117140000  2371.9900  2442.9500  2442.9500  2371.9900   2159534600   21176743936
20120117150000  2442.8200  2460.6000  2462.0300  2442.8200   2242607600   21793959936
20120118103000  2464.9200  2455.7100  2485.5000  2445.8600   3072514200   32245739520
20120118113000  2455.2600  2457.5700  2469.9100  2448.6100   1052612200   11284340736
20120118140000  2457.3400  2443.0900  2458.8100  2443.0900    837341600    8973070336
20120118150000  2442.5400  2422.1900  2442.5400  2414.5800   1412801600   14386286592
20120119103000  2423.8600  2464.9600  2465.8700  2415.3600   1639826300   16410122240
20120119113000  2465.1900  2455.1000  2479.9400  2443.3300   1510547900   15303817216
20120119140000  2455.4700  2454.4400  2462.0800  2438.4500    855757000    8890773504
20120119150000  2454.1600  2468.3500  2475.2700  2453.2500   1535526800   15548510208
20120120103000  2476.7300  2483.1600  2484.2600  2462.7500   1541652200   17745668096
20120120113000  2483.2500  2482.1200  2485.0700  2467.8800    973967000    9973055488
20120120140000  2482.4500  2496.5900  2505.4300  2481.5200   1216727200   12512380928
20120120150000  2496.7300  2504.0900  2510.2000  2496.7300   1701695200   17014427648
20120130103000  2508.8800  2485.7000  2508.8800  2466.6000   1704656000   17871065088
20120130113000  2486.0800  2494.1900  2500.6600  2472.5100    864541200    9145303040
20120130140000  2494.6400  2476.6100  2495.6200  2475.8200    681687600    6737014784
20120130150000  2475.8500  2460.7200  2477.1700  2460.7200   1089584000   10885763072
20120131103000  2462.3400  2455.9100  2472.6900  2450.3800   1058624600   11076971520
20120131113000  2456.0700  2464.4200  2471.6800  2453.7700    752971400    8300831744
20120131140000  2464.5800  2449.9200  2465.1000  2447.8800    525958800    5500028928
20120131150000  2449.8100  2464.2600  2464.2600  2449.8100    722127200    7688022016
20120201103000  2458.2300  2478.1000  2481.5300  2449.1900    926114500   10312321024
20120201113000  2478.1000  2449.4000  2479.2100  2448.3700    770258500    8402370560
20120201140000  2448.8200  2452.0300  2455.4900  2439.5900    683735000    7351816192
20120201150000  2452.4600  2428.9900  2454.7500  2423.6900   1112515200   11570890752
20120202103000  2437.4700  2449.7600  2451.5400  2429.7100    949772900   10932289536
20120202113000  2449.9400  2437.4500  2450.2900  2432.2000    639995100    7267436544
20120202140000  2437.6400  2467.4100  2467.6800  2436.4900    936228400    9123620864
20120202150000  2467.7900  2486.2400  2486.2400  2455.6400   1662634800   16591114240
20120203103000  2478.3400  2483.7000  2490.5200  2472.2400   1280047200   14158027776
20120203113000  2483.7000  2481.4700  2486.6000  2470.3300    816440800    8537187328
20120203140000  2481.7400  2507.9300  2511.8500  2480.2200   1387710800   13251981312
20120203150000  2507.8000  2506.0900  2514.6500  2500.6400   1495323600   15377231872
20120206103000  2511.1700  2508.8800  2520.6400  2499.9900   1386272000   15345158144
20120206113000  2508.8500  2516.5700  2517.5000  2500.4400    920991600    9601736704
20120206140000  2516.5200  2509.2000  2518.0700  2502.6400    889548600    9397882880
20120206150000  2509.2300  2504.3200  2510.1500  2488.7300   1301623800   13077747712
20120207103000  2489.0300  2464.4800  2489.0300  2464.4800   1228464200   12343240704
20120207113000  2464.3400  2449.0700  2469.1000  2447.2100   1027284000   10353887232
20120207140000  2449.3800  2456.8200  2458.5900  2444.9200    690448200    6801276928
20120207150000  2456.8800  2457.9500  2465.1200  2441.8400   1010042800   10390016000
20120208103000  2456.4200  2461.0400  2470.6800  2451.0700    906289800    9695784960
20120208113000  2461.0100  2470.0300  2470.4100  2456.1800    597323700    6975984640
20120208140000  2470.1400  2511.6100  2515.2000  2466.9400   1618008900   18095934464
20120208150000  2511.7400  2528.2400  2534.1600  2510.9900   2477539200   26719064064
20120209103000  2525.5900  2523.7000  2536.4300  2513.1300   1895008400   22341658624
20120209113000  2523.4700  2528.2300  2541.2100  2523.4700   1370932800   13768624128
20120209140000  2528.4200  2539.5100  2545.9400  2524.5100   1164613600   11793920000
20120209150000  2539.3600  2529.2300  2541.2600  2524.1100   1476873200   15344775168
20120210103000  2521.6800  2538.6000  2545.5200  2521.5200   1904914600   18192744448
20120210113000  2538.5900  2546.6600  2559.9400  2534.0500   1766555400   16303517696
20120210140000  2546.3100  2535.3100  2552.2600  2530.9400   1169893600   11948277760
20120210150000  2535.2600  2533.6200  2536.2100  2521.2000   1303797200   13417623552
20120213103000  2504.4100  2522.0600  2525.4000  2496.6200   1597580100   16171902976
20120213113000  2521.2600  2535.5700  2541.2000  2520.8500   1111216300   12061317120
20120213140000  2537.4300  2534.2500  2553.2900  2534.2500   1245114000   13094596608
20120213150000  2534.2100  2531.9800  2534.2100  2521.1800   1224628000   12788150272
20120214103000  2528.9700  2512.0600  2533.2300  2509.5000   1372777300   14927579136
20120214113000  2512.3400  2513.2800  2528.9300  2511.4400    970230300   10500243456
20120214140000  2513.3800  2517.5200  2522.0000  2506.5400    784520800    8515540992
20120214150000  2517.3200  2522.1100  2522.5700  2512.4000    903684800    9632882688
20120215103000  2515.8300  2532.6500  2533.7700  2511.3900   1119255800   12308666368
20120215113000  2532.8700  2550.6800  2551.2900  2530.8100   1556365000   16505907200
20120215140000  2552.0300  2548.9400  2562.0700  2545.9100   1613320000   16161300480
20120215150000  2549.1100  2549.6100  2551.7500  2541.4700   1502546000   15240081408
20120216103000  2544.6400  2543.5500  2559.2300  2539.8600   1875562000   18694236160
20120216113000  2543.0200  2541.8500  2551.3900  2541.6300   1003966800   10318825472
20120216140000  2541.5000  2531.1000  2541.5000  2526.0900   1202200000   12267184128
20120216150000  2531.0000  2536.0700  2538.3100  2519.2300   1342639600   13703380992
20120217103000  2551.8100  2540.1100  2558.0100  2538.6600   1420735500   14564395008
20120217113000  2540.0100  2532.7400  2540.3500  2522.9200    872274500    9025343488
20120217140000  2532.2700  2539.9300  2547.3100  2527.9100    695542400    7149744128
20120217150000  2539.8000  2537.0900  2543.3100  2534.4000    897628400    9565497344
20120220103000  2571.9100  2565.1400  2573.2200  2556.9200   2215529800   22390759424
20120220113000  2565.2800  2562.2600  2574.6700  2560.2200   1388667800   12984438784
20120220140000  2562.6900  2552.6600  2562.9700  2547.6600    929364800    9849393152
20120220150000  2552.8300  2540.7100  2553.3000  2539.9400   1068929200   11386945536
20120221103000  2544.8300  2545.9600  2554.4800  2537.9200   1094378400   10837137408
20120221113000  2545.7700  2532.0300  2545.8200  2520.8400   1229985000   12396904448
20120221140000  2531.1500  2543.2800  2547.0800  2526.1100    849341400    8262514688
20120221150000  2543.0900  2562.4500  2562.7400  2542.8400   1589450000   15978835968
20120222103000  2564.3200  2569.0500  2573.3200  2560.4400   2191419600   20682094592
20120222113000  2569.0600  2584.2500  2584.3100  2561.1400   1538183200   15620409344
20120222140000  2585.3000  2593.9900  2598.7500  2585.3000   1991020800   20507648000
20120222150000  2593.9400  2597.4800  2597.4800  2582.3400   1889154800   19310280704
20120223103000  2595.7800  2606.7800  2611.8400  2592.0400   2620216800   27448891392
20120223113000  2606.7000  2596.9100  2614.5300  2596.9100   1823344400   17354602496
20120223140000  2596.5300  2596.9300  2602.8400  2590.6000   1088081600   11437764608
20120223150000  2597.3000  2606.2600  2610.5600  2597.2400   1488656400   16170409984
20120224103000  2607.3400  2611.0700  2614.1400  2602.9400   1605438900   17258848256
20120224113000  2611.4200  2618.3900  2620.1000  2603.1800   1566712300   17398030336
20120224140000  2618.8000  2632.6400  2642.5200  2618.8000   2858106000   27848581120
20120224150000  2631.4700  2648.0200  2648.0200  2627.8800   2538249200   25171918848
20120227103000  2658.1200  2671.9500  2674.8700  2658.1200   3355106000   34357155840
20120227113000  2671.6300  2675.7900  2676.1500  2658.2700   1963348400   19183466496
20120227140000  2676.3000  2685.9600  2691.4900  2676.3000   2158137600   24315301888
20120227150000  2686.3700  2656.5700  2693.7400  2656.5700   2645261600   28438872064
20120228103000  2652.3400  2670.2900  2670.4400  2652.1800   2849705400   27147718656
20120228113000  2670.2300  2649.0500  2671.7400  2644.1600   1673689400   16983879680
20120228140000  2648.6100  2659.8300  2660.0700  2641.4600   1398437600   14517325824
20120228150000  2659.9300  2662.4600  2670.6400  2654.3100   1816486800   18344177664
20120229103000  2655.8600  2655.9000  2658.0800  2634.2600   2054355400   22211827712
20120229113000  2655.8100  2647.4200  2666.5600  2646.9700   1238919800   14255163392
20120229140000  2647.2900  2642.7100  2654.6700  2639.5000   1062949600   11717275648
20120229150000  2642.4100  2634.1400  2646.6600  2631.7800   1541104000   16502579200
20120301103000  2622.7400  2634.2500  2644.7600  2622.5800   1337637200   15044392960
20120301113000  2634.0100  2641.4200  2642.0300  2628.4600    821649200    8913948672
20120301140000  2641.3400  2641.1600  2643.5900  2633.9900    780979600    8573298688
20120301150000  2641.5400  2633.3400  2647.6700  2628.6600   1262378000   13840433152
20120302103000  2637.9600  2658.1300  2663.1100  2637.9600   1662788200   18982125568
20120302113000  2657.8900  2661.1800  2661.5900  2647.8300   1054153000   11045568512
20120302140000  2661.4300  2668.3300  2670.4000  2661.2300   1609089200   15811837952
20120302150000  2668.8700  2679.9300  2679.9300  2664.2800   2050876800   20834238464
20120305103000  2687.7400  2688.6500  2694.6100  2684.3600   2571081200   27332392960
20120305113000  2688.8400  2681.5100  2691.1000  2679.1000   1557660000   15825299456
20120305140000  2681.6600  2667.8500  2681.6600  2667.8500   1271660800   13560963072
20120305150000  2667.7300  2662.7000  2673.9800  2660.9600   1720259600   18048557056
20120306103000  2654.8000  2630.1300  2657.3600  2627.5700   2202037600   24417986560
20120306113000  2630.0900  2630.0800  2630.9800  2615.6800   1500082400   16238704640
20120306140000  2629.3700  2628.7000  2633.8500  2616.1400   1105698000   12404031488
20120306150000  2628.6800  2621.0500  2636.4700  2617.5700   1422273600   15596838912
20120307103000  2596.4800  2606.4000  2613.4900  2595.0700   1791407600   20450402304
20120307113000  2606.8000  2624.8000  2628.3900  2606.3600   1293176000   13992255488
20120307140000  2624.8400  2622.8600  2628.5500  2618.0700   1004242400   11106988032
20120307150000  2622.9600  2603.0100  2622.9600  2600.3000   1586382800   17450000384
20120308103000  2612.4000  2621.8500  2627.9100  2612.4000   1482197100   17240371200
20120308113000  2622.0100  2639.4600  2644.5800  2621.6500   1592140500   17754083328
20120308140000  2639.2600  2640.3000  2645.8800  2635.8600   1269868800   13889249280
20120308150000  2640.1500  2635.7900  2640.1500  2625.1000   1392657200   15350980608
20120309103000  2644.1000  2633.2600  2653.0600  2631.4600   1634525100   19887654912
20120309113000  2633.1600  2651.6000  2654.3400  2633.1600   1058812900   12175331328
20120309140000  2651.7900  2650.3900  2658.2500  2650.0600   1168578800   14462126080
